#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
70,"Raise The Red Flag","Marilyn Manson",52,105,"undefined","One Assassination Under God - Chapter 1",2024-11-22,04:49,50,93,0,0,14,10,0,-4,,4,2025-08-22,6HoG86o30Of44nHXj1g9KT,,DED832400290
71,"West Coast","OneRepublic",55,134,"undefined","Artificial Paradise (Deluxe)",2024-07-12,03:14,69,70,36,0,90,0,0,-8,,4,2025-08-22,3wSKESVpeeRrShLTe3tpN1,,USUM72202540
72,"Mother Nature","MGMT",45,82,"undefined","Loss Of Life",2024-02-23,03:56,43,74,15,0,44,0,0,-5,,4,2025-08-22,2oneWrwEcphxoHzOUyod7e,,USQE92300110
73,"King of Sweden","Future Islands",53,140,"undefined","People Who Aren’t There Anymore",2024-01-26,04:11,61,83,1,53,66,0,10,-6,,4,2025-08-22,72sMWFwbQq4kQ6EqnWdUZf,,GBAFL2200001
74,"Edin","The Smashing Pumpkins",46,108,"undefined","Aghori Mhori Mei",2024-08-02,06:46,57,66,0,31,7,0,10,-7,,4,2025-08-22,2ke0JieG5ZSc0hP7xouNeR,,QM6P42495479
75,"Conversion","Nick Cave & The Bad Seeds",42,134,"undefined","Wild God",2024-08-30,05:17,25,42,39,0,7,0,40,-8,,4,2025-08-22,2LBajJfEirkXT6ja0XzIHf,,GBSG42400006
76,"Savage Funk","Anitta",60,130,"undefined","Funk Generation",2024-04-26,01:23,89,68,22,0,39,10,10,-5,,4,2025-08-22,5ZfMBw3QdSMAHSEDa8FoA0,,USUG12402056
77,"Capa De Revista","Anitta",57,130,"undefined","Ensaios Da Anitta",2024-12-06,02:22,76,94,5,0,60,0,0,-2,,4,2025-08-22,0PNwMRlZgwoWVe0idfGQPH,,BRUM72402721
78,"Maliciosa - Ao Vivo","LUDMILLA",68,176,"undefined","Maliciosa (Ao Vivo)",2024-01-18,02:47,61,81,81,0,68,10,30,-7,,4,2025-08-22,3vCH7bgO37Cx4dOIUlX9sv,,BKSQE2400001
79,"Lua","Ana Castela,Hungria,Alok",54,130,"undefined","Boiadeira Internacional (Ao Vivo)",2024-02-23,03:26,67,84,31,0,34,0,20,-4,,4,2025-08-22,6r6wTVl7sBndpdlzBSEYnF,,BKA7Y2400021
80,"Isso é Sério","Matuê,Brandão85",71,80,"undefined","333",2024-09-09,04:45,64,81,36,0,58,20,10,-3,,4,2025-08-22,3Sa2gVQioE31DcG4nKNDqD,,BXW922400055
81,"Nosso Primeiro Beijo - Ao Vivo","Gloria Groove",74,134,"undefined","Serenata da GG, Vol. 1 (Ao Vivo)",2024-05-30,02:48,51,68,72,0,68,0,90,-7,,4,2025-08-22,7Elw15XWLpOi4qzHyAwa9e,,BXSBS2300055
82,"Torce o Olho - Ao Vivo","Gusttavo Lima,Hugo & Guilherme",53,144,"undefined","Paraíso Particular (Ao Vivo)",2024-04-11,02:47,67,70,49,0,71,0,80,-5,,4,2025-08-22,1CJnFX2V9CEUWrnrNGa60b,,BXBAL2300132
83,"ESCADA DO PRÉDIO","PEDRO SAMPAIO,Marina Sena",60,132,"undefined","ESCADA DO PRÉDIO",2024-09-03,02:17,89,53,56,0,78,0,10,-5,,4,2025-08-22,560vXBs6hssdrdOw13QPl9,,BRWMB2400943
84,"PASSADO DE UM VILÃO","Alee",61,140,"undefined","CAOS",2024-09-23,02:44,64,76,3,0,58,0,50,-8,,4,2025-08-22,5gXH6r92zVkhgP1BF73J4b,,BKNDN2400089
85,"Embalo","Ryu, The Runner,Yunk Vino,Teto",54,93,"undefined","SEMRÉH",2024-05-23,03:05,54,60,16,0,58,30,10,-6,,5,2025-08-22,616O3f20hgTgpmiZf7XgEI,,BRRGE2400153
86,"CÂMERA LENTA","Nagalli,Supernova Ent,Ryu, The Runner,Luccas Carlos",50,128,"undefined","MAGIC SHOW",2024-04-25,02:54,83,56,37,0,65,10,20,-5,,3,2025-08-22,0xDEgXt5rP6I5uwJoFk0kR,,BKSUV2400019
87,"Não Temos Medo","Tz da Coronel",68,128,"undefined","Direto da Selva",2024-06-27,02:15,76,48,64,0,70,10,30,-7,,4,2025-08-22,5rRlZJz8A17nqeKLdjDvsx,,BC2TS2400013
