#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (dB),Tom,Compasso,Adicionado em,Spotify ID,Camelot,ISRC,Gêneros_lista
162,Metralha,"Abbot,Raffa Moreira,LH CHUCRO,Jay Kay",16,140,"trap brasileiro, trap, trap funk, hip hop brasileiro, rap",Os Irmão Metralha,2024-02-23,03:00,180,83,68,6,0,72,20,10,-5,C♯/D♭ Major,4,2025-08-23,4QPCbHjLAldR6qH6TZOqdG,3B,QZ5FN2485821,"['trap brasileiro', 'trap', 'trap funk', 'hip hop brasileiro', 'rap']"
163,Mistérios,"KayBlack,Murillo e LT no Beat",49,114,"trap brasileiro, trap funk, trap, hip hop brasileiro, funk, funk consciente, rap",Mistérios,2024-07-17,02:16,136,76,41,19,0,53,10,20,-9,G#/A♭ Minor,4,2025-08-23,0hDPyvgeyTjW9WCiImtnjx,1A,BRWMB2400877,"['trap brasileiro', 'trap funk', 'trap', 'hip hop brasileiro', 'funk', 'funk consciente', 'rap']"
164,Dinheiro Ameniza,"Leviano,Caio Passos,OG Bahia,Tz da Coronel",42,147,"trap brasileiro, trap, trap funk, hip hop brasileiro, funk, funk consciente, coral, rap",Acorde E Fique Rico,2024-08-29,03:48,228,78,65,6,0,72,0,10,-6,A#/B♭ Minor,4,2025-08-23,1qP2NJqJqAfWAaLRGLkHze,3A,BKM2L2400198,"['trap brasileiro', 'trap', 'trap funk', 'hip hop brasileiro', 'funk', 'funk consciente', 'coral', 'rap']"
165,LABIRINTO,"Ariel Donato,MC Cabelinho,Marina Sena",42,129,"trap brasileiro, trap funk, trap, hip hop brasileiro, funk consciente, pop nacional, nova mpb, rap",LABIRINTO,2024-01-19,03:04,184,76,70,75,0,70,0,50,-5,A#/B♭ Minor,4,2025-08-23,0LJGq2TQMW5WwnD9AuPRuV,3A,BRWMB2301733,"['trap brasileiro', 'trap funk', 'trap', 'hip hop brasileiro', 'funk consciente', 'pop nacional', 'nova mpb', 'rap']"
166,Nosso Momento,"Pedro Lotto,MC Cabelinho,Vulgo FK,Ribb,2050",44,148,"hip hop brasileiro, trap brasileiro, trap funk, trap, funk, funk consciente, rap",Darma,2024-03-22,02:56,176,72,68,19,0,56,0,10,-5,G Minor,3,2025-08-23,0Veziue3ma20ib0JUzARrV,6A,BRUM72400336,"['hip hop brasileiro', 'trap brasileiro', 'trap funk', 'trap', 'funk', 'funk consciente', 'rap']"
167,OI,"Vulgo FK,Ryu, The Runner,Bvga Beatz,Viper,Rocco",56,127,"trap brasileiro, trap funk, trap, funk, hip hop brasileiro, rap",F**K SONGS,2024-10-24,03:01,181,84,35,16,0,16,10,10,-5,E Minor,4,2025-08-23,0rNhlglf9DbSeTpfEtezyt,9A,BRRGE2400890,"['trap brasileiro', 'trap funk', 'trap', 'funk', 'hip hop brasileiro', 'rap']"
168,TATTOOS ON MY FACE,"Derek,Jovem Dex,Nate 22",32,126,"trap brasileiro, trap, hip hop brasileiro, trap funk, rap",TRAP BRASILEIRO,2024-11-08,02:52,172,59,89,11,0,36,0,30,-2,G Minor,4,2025-08-23,6FAY4HTaHGzlbyqueBUpX8,6A,BRUM72301346,"['trap brasileiro', 'trap', 'hip hop brasileiro', 'trap funk', 'rap']"
169,ei mô,"G.A,WIU,Supernova Ent,Slaasty,Azin",41,115,"trap brasileiro, trap funk, trap, hip hop brasileiro, rap",ei mô,2024-03-28,03:21,201,83,34,79,0,52,50,10,-9,F Major,4,2025-08-23,089OwnVlTSgxistS3WXe6p,7B,BKSUV2400012,"['trap brasileiro', 'trap funk', 'trap', 'hip hop brasileiro', 'rap']"
170,Problemas de um Milionário,"WIU,Teto",65,133,"trap brasileiro, trap, trap funk, hip hop brasileiro, rap",Problemas de um Milionário,2024-04-10,02:24,144,93,48,36,0,75,20,0,-5,D Major,4,2025-08-23,0VybBobSYSzliyEJ1VqwGR,10B,BXW922400001,"['trap brasileiro', 'trap', 'trap funk', 'hip hop brasileiro', 'rap']"
171,Pálido Ponto Azul,Kant,26,70,"trap brasileiro, hip hop brasileiro, trap, trap funk, rap",Pálido Ponto Azul,2024-11-22,06:13,373,49,56,83,0,48,40,10,-7,G#/A♭ Minor,4,2025-08-23,7FhqYZzXTRNg0yDaKRQKJf,1A,QZNJZ2409742,"['trap brasileiro', 'hip hop brasileiro', 'trap', 'trap funk', 'rap']"
