#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (dB),Tom,Compasso,Adicionado em,Spotify ID,Camelot,ISRC,Gêneros_lista
12,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis,Peso Pluma",77,108,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño triste, banda music, corridos eletro, pop",ORQUÍDEAS,2024-01-12,04:20,260,70,59,0,0,48,0,10,-5,F Minor,4,2025-08-22,6XaJfhwof7qIgbbXO5tIQI,4A,USUM72315072,"['corrido', 'corridos tumbados', 'corridos bélicos', 'música mexicana', 'sierreño triste', 'banda music', 'corridos eletro', 'pop']"
13,Free Fall (feat. J. Cole),"Tems,J. Cole",65,92,"afrobeats, r&b afro, alté, afrobeat, rap, pop",Born in the Wild,2024-06-06,03:12,192,74,53,47,4,80,0,10,-7,A Minor,4,2025-08-22,3cuUZnjDwk4cUJCFinYbAC,8A,USRC12401742,"['afrobeats', 'r&b afro', 'alté', 'afrobeat', 'rap', 'pop']"
14,HE KNOWS (feat. Lil Nas X),"Camila Cabello,Lil Nas X",58,125,pop,"C,XOXO",2024-06-28,03:01,181,75,69,8,0,45,10,10,-7,A#/B♭ Minor,4,2025-08-22,5TdrCQVt3l1uEz3pFdTgXC,3A,USUG12402116,['pop']
15,Puntería,"Shakira,Cardi B",64,120,"pop latino, ",Las Mujeres Ya No Lloran,2024-03-22,03:01,181,86,73,2,0,81,0,10,-4,F Minor,4,2025-08-23,2dYXrWkNO40NXy2Q3IYLRc,4A,USQX92400523,"['pop latino', '']"
16,I Had Some Help (Feat. Morgan Wallen),"Post Malone,Morgan Wallen",84,128,"country, pop",F-1 Trillion,2024-08-15,02:58,178,64,87,1,0,75,0,20,-5,C Major,4,2025-08-22,5IZXB5IKAD2qlvTPJYDCFB,8B,USUM72404990,"['country', 'pop']"
17,No Angels,Justin Timberlake,51,112,pop,Everything I Thought It Was,2024-03-15,03:28,208,85,65,14,0,65,0,0,-6,A#/B♭ Minor,4,2025-08-22,3Llg6UrxeStZxQJNjEQrlM,3A,USRC12400002,['pop']
18,Deeper Well,Kacey Musgraves,67,110,"pop, country",Deeper Well,2024-03-15,03:52,232,45,53,46,0,35,0,10,-8,C Major,4,2025-08-22,333XFHKsHU0pOocFzBgrJi,8B,USUM72316291,"['pop', 'country']"
19,ARTIFICIAL (feat. JID),"Katy Perry,JID",52,129,"pop, ",143,2024-09-20,02:43,163,72,51,1,0,14,0,30,-7,C Minor,4,2025-08-22,3UxPCKSa8fPIhP7KMSD0HW,5A,USUM72407749,"['pop', '']"
20,Houdini,Dua Lipa,81,117,pop,Radical Optimism,2024-05-03,03:05,185,74,79,0,0,87,0,0,-5,A Minor,4,2025-08-22,6D8y7Bck8h11byRY88Pt2z,8A,GBAHT2301246,['pop']
21,Can't Get Enough,Jennifer Lopez,30,100,pop,This Is Me...Now (Deluxe),2024-02-16,03:06,186,77,75,0,0,64,0,0,-3,C Major,4,2025-08-22,6SSZfUwJuFmPvLssmMhTMj,8B,QMRSZ2301148,['pop']
22,Little Wing,Sia,40,160,pop,Reasonable Woman,2024-05-03,03:18,198,51,69,0,0,14,0,10,-4,F#/G♭ Minor,4,2025-08-22,4ZK786lHXz8nZ8NwODGc6L,11A,USAT22400523,['pop']
23,Ruined,Adrianne Lenker,47,109,pop,Bright Future,2024-03-22,04:32,272,40,13,98,0,16,0,0,-12,F Major,4,2025-08-22,3cGZNocKeVtXgjugVYuMyi,7B,GBAFL2300323,['pop']
24,Can't Tame Her,Zara Larsson,50,182,pop,VENUS,2024-02-09,03:16,196,57,91,1,0,55,10,10,-3,F#/G♭ Minor,4,2025-08-22,1G1kKHczSz6Xqv5dCmtkL4,11A,USSM12210918,['pop']
25,Stardust,ZAYN,59,120,pop,ROOM UNDER THE STAIRS,2024-05-17,03:52,232,63,66,39,0,65,0,10,-6,A Major,4,2025-08-22,4266h07udCdZ83jswW10IG,11B,USUG12401420,['pop']
26,reincarnated,Kendrick Lamar,72,91,"hip hop, west coast hip hop, rap",GNX,2024-11-22,04:35,275,85,78,5,0,75,20,30,-5,G Major,4,2025-08-22,0RgjEkSbeuStKfT2Pa4Zai,9B,USUG12408500,"['hip hop', 'west coast hip hop', 'rap']"
27,Trae The Truth in Ibiza,J. Cole,63,158,rap,Might Delete Later,2024-04-05,04:15,255,49,59,12,0,53,10,30,-8,G Major,3,2025-08-22,4E2fOeF5A6onC10OtnjXJa,9B,USUG12402412,['rap']
28,Like That,"Future,Metro Boomin,Kendrick Lamar",82,162,"rap, hip hop, west coast hip hop",WE DON'T TRUST YOU,2024-03-22,04:27,267,81,68,1,0,31,20,10,-5,B Minor,4,2025-08-22,2tudvzsrR56uom6smgOcSf,10A,USSM12402041,"['rap', 'hip hop', 'west coast hip hop']"
29,Show of Hands,"Future,Metro Boomin,A$AP Rocky",59,137,rap,WE STILL DON'T TRUST YOU,2024-04-12,03:33,213,78,72,4,0,38,30,40,-4,G#/A♭ Minor,4,2025-08-22,0cGn4vxyoBftN61XUv2aQk,1A,USSM12403211,['rap']
30,LIL DEMON,Future,74,131,rap,MIXTAPE PLUTO,2024-09-20,02:19,139,86,75,0,0,30,0,0,-6,B Major,4,2025-08-22,3aCPResPDNae3pXTocGpYe,1B,USSM12406727,['rap']
31,BURN,"¥$,Kanye West,Ty Dolla $ign",72,105,"rap, trap soul",VULTURES 1,2024-02-09,01:51,111,60,88,2,0,72,30,80,-6,E Minor,4,2025-08-22,7BPadP3q9qwMkho3IMPU99,9A,QZ7XS2400009,"['rap', 'trap soul']"
32,SLIDE,"¥$,Kanye West,Ty Dolla $ign",57,108,"rap, trap soul",VULTURES 2,2024-08-03,03:17,197,75,80,3,0,44,0,10,-6,A#/B♭ Minor,4,2025-08-22,5MGMXOhVvwzCjFgdQsFokR,3A,TLVEM2467039,"['rap', 'trap soul']"
33,COLE PIMP (with Ty Dolla $ign & Juicy J),"Denzel Curry,Ty Dolla $ign,Juicy J",52,156,"trap soul, crunk, rap",King Of The Mischievous South Vol. 2,2024-07-19,03:38,218,58,82,60,0,76,10,10,-6,G#/A♭ Minor,4,2025-08-22,4vdDAdLtmTqFR1J4AO4cBf,1A,USC4R2443043,"['trap soul', 'crunk', 'rap']"
34,Like Him (feat. Lola Young),"Tyler, The Creator,Lola Young",86,96,rap,CHROMAKOPIA,2024-10-28,04:38,278,39,56,29,0,19,0,10,-7,E Minor,3,2025-08-22,6jbYpRPTEFl1HFKHk1IC0m,9A,USQX92405794,['rap']
35,either on or off the drugs,JPEGMAFIA,64,184,"rap experimental, hip hop alternativo, experimental",I LAY DOWN MY LIFE FOR YOU,2024-08-01,02:20,140,51,61,15,0,63,10,70,-6,F#/G♭ Minor,3,2025-08-22,3EWaU5exMayFzQMkIfTX7w,11A,QM7282468581,"['rap experimental', 'hip hop alternativo', 'experimental']"
36,Étouffée,Vince Staples,55,135,rap,Dark Times,2024-05-24,04:28,268,55,71,15,7,47,40,20,-8,G Minor,5,2025-08-22,592A3x9nMXoL3Ay5rKgSwW,6A,USUM72404697,['rap']
37,THank god 4 me,ScHoolboy Q,58,136,rap,BLUE LIPS,2024-03-01,02:57,177,73,57,64,0,42,10,10,-8,C♯/D♭ Major,4,2025-08-22,7CwO2esrH095tjxmJVMY2E,3B,USUM72401064,['rap']
38,Cosmo Freestyle,Freddie Gibbs,50,77,"hip hop alternativo, rap",You Only Die 1nce,2024-10-31,03:04,184,73,83,21,0,65,20,10,-5,A Minor,4,2025-08-22,7rOMXlhgozetHpzmJciBjm,8A,QMDA62478842,"['hip hop alternativo', 'rap']"
39,DENIAL IS A RIVER,Doechii,81,93,rap,Alligator Bites Never Heal,2024-08-30,02:39,159,83,64,9,0,62,30,0,-3,F#/G♭ Minor,4,2025-08-22,1eTaznNW4Xxtx9za2SMTXB,11A,USUG12405664,['rap']
40,3:AM (feat. Erykah Badu),"Rapsody,Erykah Badu",41,89,"neo soul, r&b, rap",Please Don't Cry,2024-05-17,03:33,213,53,59,65,0,64,30,10,-6,F Minor,4,2025-08-22,44BRidSOFkXcKH3oZzHKdR,4A,QMJMT2405253,"['neo soul', 'r&b', 'rap']"
41,Still Praying,"Westside Gunn,DJ Drama,Stove God Cooks,Benny The Butcher,Conway the Machine,Boldy James",37,127,"boom bap, hip hop alternativo, jazz rap, southern hip hop, east coast hip hop, rap experimental",Still Praying,2024-11-01,06:57,417,50,56,9,0,5,0,10,-7,C Major,4,2025-08-22,4iRh9CuSqd3aF2jSA1v6Xj,8B,QZS7J2415851,"['boom bap', 'hip hop alternativo', 'jazz rap', 'southern hip hop', 'east coast hip hop', 'rap experimental']"
42,redrum,21 Savage,79,172,rap,american dream,2024-01-12,04:30,270,63,73,1,0,24,0,30,-9,D Major,4,2025-08-22,52eIcoLUM25zbQupAZYoFh,10B,USSM12309164,['rap']
43,Lithonia,Childish Gambino,59,140,rap,Lithonia,2024-07-02,02:59,179,42,38,9,0,17,0,10,-8,C♯/D♭ Major,4,2025-08-22,4JfpJrrGNXRj2yXm1fYV23,3B,USRC12402124,['rap']
44,Fuel,"Eminem,JID",71,138,"rap, hip hop, ",The Death of Slim Shady (Coup De Grâce),2024-07-12,03:33,213,89,66,12,0,12,10,10,-5,C♯/D♭ Major,4,2025-08-22,5In8B6Om5OKrhwBMB4tXSi,3B,USUG12403410,"['rap', 'hip hop', '']"
45,Dreamin',"Common,Pete Rock",39,89,"hip hop, jazz rap, neo soul, east coast hip hop, boom bap",The Auditorium Vol. 1,2024-07-12,04:00,240,64,87,7,0,60,20,40,-3,D Major,4,2025-08-22,7qiCLJzwFyyyjckrYHVkOh,10B,USC4R2443030,"['hip hop', 'jazz rap', 'neo soul', 'east coast hip hop', 'boom bap']"
46,WalkOnBy (feat. Earl Sweatshirt & Rae Khalil),"NxWorries,Anderson .Paak,Knxwledge,Earl Sweatshirt,Rae Khalil",47,152,"rap experimental, hip hop alternativo, ",Why Lawd?,2024-06-14,03:47,227,60,73,5,0,71,20,10,-11,G Minor,4,2025-08-22,36dXojpK4JbefZoCLRVVMF,6A,US2S72400018,"['rap experimental', 'hip hop alternativo', '']"
47,one of wun,Gunna,80,140,rap melódico,One of Wun,2024-05-10,02:24,144,92,45,9,0,29,20,10,-5,A#/B♭ Minor,4,2025-08-22,4Na2HfNSr58chvfX69fy36,3A,USAT22403437,['rap melódico']
48,Banded Up - feat. Tierra Whack,"Chief Keef,Tierra Whack",40,155,"drill de chicago, drill, r&b alternativo, rap",Almighty So 2,2024-05-10,04:26,266,65,69,0,0,19,0,30,-5,C♯/D♭ Major,4,2025-08-22,7tmgmrJYAGshsUHUNWPMlO,3B,QMRSZ2203237,"['drill de chicago', 'drill', 'r&b alternativo', 'rap']"
49,Good Good,"USHER,Summer Walker,21 Savage",55,141,"r&b, , rap",COMING HOME,2024-02-09,04:07,247,74,68,4,0,57,10,10,-5,G Minor,4,2025-08-22,3jK1QRugwuAKAKOrtac7a2,6A,QZS7J2331813,"['r&b', '', 'rap']"
50,BLUE SKY,Kid Cudi,50,90,rap,INSANO,2024-01-12,03:41,221,66,60,57,1,40,0,0,-7,C♯/D♭ Minor,4,2025-08-22,74uNMBwFmCG9OXHg5LX16K,12A,USUM72312226,['rap']
51,Fire in These Hills,Imagine Dragons,66,125,rock,LOOM,2024-06-28,03:39,219,66,52,15,0,27,0,10,-8,C♯/D♭ Major,4,2025-08-22,2Morv8EWzWFsfbqG8vdUfy,3B,USUM72404005,['rock']
52,Next Semester,Twenty One Pilots,68,175,rock,Clancy,2024-05-24,03:54,234,23,82,2,0,13,10,10,-5,E Major,4,2025-08-22,1BANPzYIhCQkJ1ZFq2Fb0O,12B,USAT22402063,['rock']
53,WE PRAY,"Coldplay,Little Simz,Burna Boy,Elyanna,TINI",69,136,"afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano, pop latino, rock",Moon Music,2024-10-04,03:53,233,75,52,7,0,67,0,0,-8,F Minor,4,2025-08-23,7xrEnNo99wrmIs8ZK3RZMK,4A,GBAYE2400890,"['afrobeats', 'afrobeat', 'afropop', 'afroswing', 'dancehall', 'afropiano', 'pop latino', 'rock']"
54,Scared Of Fear,Pearl Jam,46,168,"grunge, rock, post-grunge",Dark Matter,2024-04-19,04:24,264,26,92,0,0,36,10,10,-4,G Minor,4,2025-08-22,5zAga8KU22nzojKc6ZBWOV,6A,USUG12309751,"['grunge', 'rock', 'post-grunge']"
55,Dilemma,Green Day,61,120,"punk, pop punk, rock",Saviors,2024-01-19,03:18,198,55,89,0,0,67,0,20,-3,D Major,4,2025-08-22,4NrGMEm5SvvpJ9Tk1Rq3cP,10B,USRE12201093,"['punk', 'pop punk', 'rock']"
56,The Emptiness Machine,Linkin Park,79,184,"nu metal, rap metal, rock, metal alternativo",The Emptiness Machine,2024-09-05,03:10,190,47,87,2,0,81,0,10,-3,G Major,4,2025-08-22,2PnlsTsOTLE5jnBnNe2K0A,9B,USWB12403464,"['nu metal', 'rap metal', 'rock', 'metal alternativo']"
57,Waves,Bon Jovi,37,160,"glam metal, rock",Forever,2024-06-07,03:52,232,43,78,1,0,34,0,10,-6,B Minor,4,2025-08-22,3fRs5XDtcKe3TzFTlsqIOv,10A,USUG12401207,"['glam metal', 'rock']"
58,BYE BYE,Kim Gordon,35,146,noise rock,The Collective,2024-03-08,04:14,254,59,42,0,56,4,0,10,-9,G Minor,4,2025-08-22,3b34EvMAFHcdRBujeo9e6t,6A,USMTD2300380,['noise rock']
59,Hope,Vampire Weekend,43,148,"indie, pop barroco, rock",Only God Was Above Us,2024-04-05,07:57,477,52,66,4,0,35,0,10,-6,C Major,4,2025-08-22,5sBrebz7XnIbwSdWgWasLr,8B,USSM12400086,"['indie', 'pop barroco', 'rock']"
60,Suffocate (feat. Poppy),"Knocked Loose,Poppy",63,170,"hardcore, metalcore, deathcore, hardcore punk, , rock",You Won't Go Before You're Supposed To,2024-05-10,02:44,164,24,99,0,1,12,30,50,-3,C♯/D♭ Minor,4,2025-08-22,6PXYOVPBzO3xojFhQAvmde,12A,USSTT2400028,"['hardcore', 'metalcore', 'deathcore', 'hardcore punk', '', 'rock']"
61,Burn Alive,The Last Dinner Party,57,111,rock,Prelude to Ecstasy,2024-02-02,03:21,201,60,73,0,0,29,0,0,-5,G Minor,4,2025-08-22,54wX7jxwKL2TQS9itIIMyJ,6A,GBUM72309267,['rock']
62,Dusk,Chelsea Wolfe,41,96,"gótico do sul, doom metal, rock",She Reaches Out To She Reaches Out To She,2024-02-09,04:34,274,37,59,3,5,7,0,10,-6,A#/B♭ Major,4,2025-08-22,2zj5pSP9CoOTCDRfBN2zCq,6B,USC4R2337037,"['gótico do sul', 'doom metal', 'rock']"
63,I Love You Tonite,Johnny Cash,39,87,"country clássico, outlaw country, country, rock",Songwriter,2024-06-28,03:19,199,69,31,65,0,48,0,0,-10,C Major,4,2025-08-22,1PXOXSHIkcVtvMuHbOefH3,8B,USUM72403302,"['country clássico', 'outlaw country', 'country', 'rock']"
64,Alone,The Cure,48,100,"new wave, post-punk, rock gótico, darkwave",Alone,2024-09-26,06:48,408,46,88,0,21,14,0,30,-5,A Minor,4,2025-08-22,7zHhP0CHO4cONkImJ0Oau6,8A,GBUM72403962,"['new wave', 'post-punk', 'rock gótico', 'darkwave']"
65,Crossroads feat. Gary Clark Jr.,"Slash,Gary Clark Jr.",36,126,"hard rock, blues moderno, blues rock, blues, soul blues",Orgy of the Damned,2024-05-17,05:34,334,54,89,0,1,48,0,30,-7,D Major,4,2025-08-22,6IgPgkDiKtlPmrFBhqlTmu,10B,QZWH32400005,"['hard rock', 'blues moderno', 'blues rock', 'blues', 'soul blues']"
66,Eternity Has Failed,Bruce Dickinson,33,106,"heavy metal, metal, rock",The Mandrake Project,2024-03-01,06:58,418,46,85,0,0,14,0,10,-7,D Minor,4,2025-08-22,42dYIi8ZqBoXup6fPyETsJ,7A,GBCHB2300006,"['heavy metal', 'metal', 'rock']"
67,AmEN! (feat. Lil Uzi Vert and Daryl Palumbo of Glassjaw),"Bring Me The Horizon,Lil Uzi Vert,Daryl Palumbo,Glassjaw",59,105,"metalcore, emo, screamo, rock, post-hardcore, rap melódico, mathcore",POST HUMAN: NeX GEn,2024-05-24,03:09,189,46,94,0,0,34,10,50,-3,C♯/D♭ Major,3,2025-08-22,1EQgXWPkU96b4tw3pJtTp1,3B,GBARL2300647,"['metalcore', 'emo', 'screamo', 'rock', 'post-hardcore', 'rap melódico', 'mathcore']"
68,Pictures of You,Deep Purple,34,96,"hard rock, rock clássico, rock",=1,2024-07-19,03:51,231,44,91,1,0,19,0,20,-2,E Minor,4,2025-08-22,6vS3Tx1vR80vXENELsLv79,9A,DEH842400081,"['hard rock', 'rock clássico', 'rock']"
69,Light It Up,The Offspring,48,167,"punk, skate punk, rock",SUPERCHARGED,2024-10-11,02:52,172,50,99,0,0,70,10,50,-1,G Major,4,2025-08-22,6Hqpak2C21R2Qd448RGm7a,9B,USC4R2444621,"['punk', 'skate punk', 'rock']"
70,Raise The Red Flag,Marilyn Manson,52,105,"metal industrial, rock industrial, industrial, metal, nu metal",One Assassination Under God - Chapter 1,2024-11-22,04:49,289,50,93,0,0,14,10,0,-4,G#/A♭ Major,4,2025-08-22,6HoG86o30Of44nHXj1g9KT,4B,DED832400290,"['metal industrial', 'rock industrial', 'industrial', 'metal', 'nu metal']"
71,West Coast,OneRepublic,55,134,"o lado suave do pop, rock",Artificial Paradise (Deluxe),2024-07-12,03:14,194,69,70,36,0,90,0,0,-8,F#/G♭ Minor,4,2025-08-22,3wSKESVpeeRrShLTe3tpN1,11A,USUM72202540,"['o lado suave do pop', 'rock']"
72,Mother Nature,MGMT,45,82,"indie, rock",Loss Of Life,2024-02-23,03:56,236,43,74,15,0,44,0,0,-5,F#/G♭ Major,4,2025-08-22,2oneWrwEcphxoHzOUyod7e,2B,USQE92300110,"['indie', 'rock']"
73,King of Sweden,Future Islands,53,140,rock,People Who Aren’t There Anymore,2024-01-26,04:11,251,61,83,1,53,66,0,10,-6,G Minor,4,2025-08-22,72sMWFwbQq4kQ6EqnWdUZf,6A,GBAFL2200001,['rock']
74,Edin,The Smashing Pumpkins,46,108,"rock alternativo, rock",Aghori Mhori Mei,2024-08-02,06:46,406,57,66,0,31,7,0,10,-7,F Major,4,2025-08-22,2ke0JieG5ZSc0hP7xouNeR,7B,QM6P42495479,"['rock alternativo', 'rock']"
75,Conversion,Nick Cave & The Bad Seeds,42,134,rock,Wild God,2024-08-30,05:17,317,25,42,39,0,7,0,40,-8,D Minor,4,2025-08-22,2LBajJfEirkXT6ja0XzIHf,7A,GBSG42400006,['rock']
76,Savage Funk,Anitta,60,130,"pop nacional, funk pop, funk, funk carioca, pagode baiano",Funk Generation,2024-04-26,01:23,83,89,68,22,0,39,10,10,-5,G Major,4,2025-08-22,5ZfMBw3QdSMAHSEDa8FoA0,9B,USUG12402056,"['pop nacional', 'funk pop', 'funk', 'funk carioca', 'pagode baiano']"
77,Capa De Revista,Anitta,57,130,"pop nacional, funk pop, funk, funk carioca, pagode baiano",Ensaios Da Anitta,2024-12-06,02:22,142,76,94,5,0,60,0,0,-2,E Minor,4,2025-08-22,0PNwMRlZgwoWVe0idfGQPH,9A,BRUM72402721,"['pop nacional', 'funk pop', 'funk', 'funk carioca', 'pagode baiano']"
78,Maliciosa - Ao Vivo,LUDMILLA,68,176,"pagode, pop nacional, funk pop, funk, pagode baiano, funk carioca, samba",Maliciosa (Ao Vivo),2024-01-18,02:47,167,61,81,81,0,68,10,30,-7,G Major,4,2025-08-22,3vCH7bgO37Cx4dOIUlX9sv,9B,BKSQE2400001,"['pagode', 'pop nacional', 'funk pop', 'funk', 'pagode baiano', 'funk carioca', 'samba']"
79,Lua,"Ana Castela,Hungria,Alok",54,130,"sertanejo, agronejo, sertanejo universitário, piseiro, hip hop brasileiro, brazilian bass, eletronic, slap house, eletrohouse",Boiadeira Internacional (Ao Vivo),2024-02-23,03:26,206,67,84,31,0,34,0,20,-4,B Minor,4,2025-08-22,6r6wTVl7sBndpdlzBSEYnF,10A,BKA7Y2400021,"['sertanejo', 'agronejo', 'sertanejo universitário', 'piseiro', 'hip hop brasileiro', 'brazilian bass', 'eletronic', 'slap house', 'eletrohouse']"
80,Isso é Sério,"Matuê,Brandão85",71,80,"trap brasileiro, trap, hip hop brasileiro, trap funk, rap",333,2024-09-09,04:45,285,64,81,36,0,58,20,10,-3,B Minor,4,2025-08-22,3Sa2gVQioE31DcG4nKNDqD,10A,BXW922400055,"['trap brasileiro', 'trap', 'hip hop brasileiro', 'trap funk', 'rap']"
81,Nosso Primeiro Beijo - Ao Vivo,Gloria Groove,74,134,"pop nacional, funk pop, pagode, funk","Serenata da GG, Vol. 1 (Ao Vivo)",2024-05-30,02:48,168,51,68,72,0,68,0,90,-7,G Minor,4,2025-08-22,7Elw15XWLpOi4qzHyAwa9e,6A,BXSBS2300055,"['pop nacional', 'funk pop', 'pagode', 'funk']"
82,Torce o Olho - Ao Vivo,"Gusttavo Lima,Hugo & Guilherme",53,144,"sertanejo, sertanejo universitário, arrocha, agronejo, piseiro, forró",Paraíso Particular (Ao Vivo),2024-04-11,02:47,167,67,70,49,0,71,0,80,-5,C Major,4,2025-08-22,1CJnFX2V9CEUWrnrNGa60b,8B,BXBAL2300132,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo', 'piseiro', 'forró']"
83,ESCADA DO PRÉDIO,"PEDRO SAMPAIO,Marina Sena",60,132,"funk, funk pop, funk carioca, brega funk, pop nacional, nova mpb",ESCADA DO PRÉDIO,2024-09-03,02:17,137,89,53,56,0,78,0,10,-5,F Minor,4,2025-08-22,560vXBs6hssdrdOw13QPl9,4A,BRWMB2400943,"['funk', 'funk pop', 'funk carioca', 'brega funk', 'pop nacional', 'nova mpb']"
84,PASSADO DE UM VILÃO,Alee,61,140,"trap brasileiro, trap, hip hop brasileiro, trap funk, rap",CAOS,2024-09-23,02:44,164,64,76,3,0,58,0,50,-8,D Major,4,2025-08-22,5gXH6r92zVkhgP1BF73J4b,10B,BKNDN2400089,"['trap brasileiro', 'trap', 'hip hop brasileiro', 'trap funk', 'rap']"
85,Embalo,"Ryu, The Runner,Yunk Vino,Teto",54,93,"trap brasileiro, trap, trap funk, hip hop brasileiro, rap",SEMRÉH,2024-05-23,03:05,185,54,60,16,0,58,30,10,-6,F Minor,5,2025-08-22,616O3f20hgTgpmiZf7XgEI,4A,BRRGE2400153,"['trap brasileiro', 'trap', 'trap funk', 'hip hop brasileiro', 'rap']"
86,CÂMERA LENTA,"Nagalli,Supernova Ent,Ryu, The Runner,Luccas Carlos",50,128,"trap brasileiro, trap funk, trap, hip hop brasileiro, pop nacional, rap",MAGIC SHOW,2024-04-25,02:54,174,83,56,37,0,65,10,20,-5,B Minor,3,2025-08-22,0xDEgXt5rP6I5uwJoFk0kR,10A,BKSUV2400019,"['trap brasileiro', 'trap funk', 'trap', 'hip hop brasileiro', 'pop nacional', 'rap']"
87,Não Temos Medo,Tz da Coronel,68,128,"trap brasileiro, trap funk, trap, hip hop brasileiro, coral, rap",Direto da Selva,2024-06-27,02:15,135,76,48,64,0,70,10,30,-7,F Minor,4,2025-08-22,5rRlZJz8A17nqeKLdjDvsx,4A,BC2TS2400013,"['trap brasileiro', 'trap funk', 'trap', 'hip hop brasileiro', 'coral', 'rap']"
88,Erasmo Esteves (Tijuca Maluca),"Erasmo Carlos,Rubel,Emicida",27,172,"mpb, rock brasileiro, nova mpb, hip hop brasileiro",Erasmo Esteves,2024-05-03,04:34,274,55,69,74,0,90,0,50,-10,C Major,4,2025-08-22,4w4Jqi1hrVol86IBNw4Yql,8B,BRRGE2400199,"['mpb', 'rock brasileiro', 'nova mpb', 'hip hop brasileiro']"
89,Cowabunga!,"Jotapê,Nle Doprê,Brennuz,Barretinho,IWally,Marabá",39,144,"trap brasileiro, hip hop brasileiro, boom bap, , rap",LáDoEsgoto,2024-07-03,03:24,204,67,78,37,0,50,20,20,-4,F#/G♭ Minor,4,2025-08-22,6IeJOZy0YiHhSMEnLQDAsA,11A,BXJK02400061,"['trap brasileiro', 'hip hop brasileiro', 'boom bap', '', 'rap']"
90,Diz Aí Qual é o Plano?,"Mc IG,MC Ryan SP,Oruam,MC PH,Mc Poze do Rodo,MC GP,TrapLaudo,Mc Luki,MC GH do 7,MC Nego Micha,Murillo e LT no Beat",61,72,"funk, trap funk, funk consciente, trap brasileiro, trap, hip hop brasileiro, rap",Todo Mundo Odeia o IG,2024-03-21,11:43,703,59,58,35,0,58,50,0,-4,E Major,5,2025-08-22,7pnqm6UEb7SzpDxb53wULT,12B,BRWMB2400220,"['funk', 'trap funk', 'funk consciente', 'trap brasileiro', 'trap', 'hip hop brasileiro', 'rap']"
91,Vem Desestressar,"MC PH,Vulgo FK,Veigh,Pedro Lotto,prodbyeros",64,124,"funk, trap funk, funk consciente, trap brasileiro, trap, hip hop brasileiro, rap","O Cara Do Momento, Vol. 2",2024-04-10,04:03,243,77,54,34,0,54,0,10,-8,C♯/D♭ Major,4,2025-08-23,5jrQZnYInM6YUjr2yFSa3E,3B,BXG6R2400152,"['funk', 'trap funk', 'funk consciente', 'trap brasileiro', 'trap', 'hip hop brasileiro', 'rap']"
92,Rainha da Finesse,WIU,67,130,"trap brasileiro, trap, trap funk, hip hop brasileiro, rap",Vagabundo de Luxo,2024-07-10,02:46,166,79,85,55,0,65,0,10,-2,D#/E♭ Minor,4,2025-08-22,0w7vodPWFEcuEYvWpbNbOu,2A,BXW922400005,"['trap brasileiro', 'trap', 'trap funk', 'hip hop brasileiro', 'rap']"
93,Diferentão - Ao Vivo,Dilsinho,33,95,"pagode, samba, sertanejo, piseiro",Diferentão 2 (Ao Vivo),2024-06-06,03:03,183,69,80,56,0,91,0,50,-7,B Minor,4,2025-08-22,1TfsRE0WGbCxjhWgg164qQ,10A,BCG3G2400025,"['pagode', 'samba', 'sertanejo', 'piseiro']"
94,Eu vs Me,"Yunk Vino,Galdino,Honaiser,Nagalli",45,127,"trap brasileiro, trap, trap funk, hip hop brasileiro, rap",M.A.D 2,2024-08-09,02:49,169,61,51,8,0,56,0,10,-8,F Minor,4,2025-08-22,7dwPbTsu0POrSie5xkMGpN,4A,BXBGP2400037,"['trap brasileiro', 'trap', 'trap funk', 'hip hop brasileiro', 'rap']"
95,Vamo Marolar,"L7NNON,MC Cabelinho,Palma,HHR",57,119,"trap brasileiro, hip hop brasileiro, trap funk, trap, funk carioca, funk consciente, boom bap, rap",Vamo Marolar,2024-03-28,03:01,181,94,45,27,0,56,30,10,-6,F#/G♭ Minor,4,2025-08-22,6VzrPxShPXVXRLig62vl2p,11A,BR5TG2400061,"['trap brasileiro', 'hip hop brasileiro', 'trap funk', 'trap', 'funk carioca', 'funk consciente', 'boom bap', 'rap']"
96,Segue o Jogo,Samuel Rosa,32,136,"mpb, pop nacional, nova mpb, rock brasileiro",Rosa,2024-06-27,03:42,222,75,65,7,0,82,0,0,-9,G Major,4,2025-08-22,17sbwALPLff4Z1499EYNaF,9B,BCS162400008,"['mpb', 'pop nacional', 'nova mpb', 'rock brasileiro']"
97,CAJU,Liniker,67,140,"nova mpb, mpb, pop nacional",CAJU,2024-08-19,04:26,266,65,65,51,0,66,10,50,-7,E Minor,4,2025-08-22,7tmvvRmUqzCRjRx9ub8K7i,9A,BK20B2400014,"['nova mpb', 'mpb', 'pop nacional']"
